BJD - 2454833, Corrected Flux
2313.557392284, 0.999609913,
2313.577824304, 0.999647551,
2313.598256123, 0.999673063,
2313.618688042, 0.999642854,
2313.639120061, 0.999675099,
2313.659551879, 0.999617018,
2313.679983797, 0.999749387,
2313.700415815, 0.999636060,
2313.720847632, 0.999673151,
2313.741279549, 0.999686761,
2313.761711566, 0.999628551,
2313.782143382, 0.999687241,
2313.802575298, 0.999654463,
2313.823007313, 0.999650775,
2313.843439228, 0.999646463,
2313.863871043, 0.999555982,
2313.884303057, 0.999683028,
2313.904734971, 0.999599069,
2313.925166885, 0.999687048,
2313.945598798, 0.999658709,
2313.966030711, 0.999606815,
2313.986462624, 0.999569602,
2314.006894536, 0.999593616,
2314.027326448, 0.999611798,
2314.047758360, 0.999647548,
2314.068190271, 0.999614233,
2314.088622182, 0.999881586,
2314.109054092, 0.999504267,
2314.129486002, 0.999276252,
2314.170349822, 0.999600062,
2314.190781731, 0.999612986,
2314.211213640, 0.999574034,
2314.231645548, 0.999616625,
2314.252077456, 0.999640578,
2314.272509364, 0.999634605,
2314.292941271, 0.999656587,
2314.313373178, 0.999611098,
2314.333805085, 0.999677458,
2314.354237091, 0.999631036,
2314.374668897, 0.999601799,
2314.415532808, 0.999650294,
2314.435964613, 0.999611251,
2314.456396617, 0.999681228,
2314.476828522, 0.999672828,
2314.497260325, 0.999632733,
2314.517692329, 0.999602393,
2314.538124232, 0.999576581,
2314.558556035, 0.999643616,
2314.578988038, 0.999617827,
2314.599419940, 0.999572636,
2314.619851741, 0.999660249,
2314.640283743, 0.999699990,
2314.660715644, 0.999634250,
2314.681147545, 0.999672962,
2314.701579445, 0.999687777,
2314.722011345, 0.999636528,
2314.742443245, 0.999560620,
2314.762875144, 0.999589235,
2314.783307043, 0.999573701,
2314.803738942, 0.999671612,
2314.824170840, 0.999632598,
2314.844602738, 0.999703567,
2314.865034536, 0.999634378,
2314.905898430, 0.999670269,
2314.926330427, 0.999649812,
2314.946762223, 0.999710100,
2314.967194119, 0.999621823,
2314.987626114, 0.999605254,
2315.008057910, 0.999704478,
2315.028489805, 0.999691036,
2315.048921799, 0.999662275,
2315.069353593, 0.999680837,
2315.089785487, 0.999659112,
2315.110217481, 0.999748728,
2315.130649274, 0.999631569,
2315.151081167, 0.999695054,
2315.171513159, 0.999664999,
2315.191945051, 0.999694410,
2315.212376843, 0.999645056,
2315.232808835, 0.999707967,
2315.253240726, 0.999685536,
2315.273672517, 0.999690348,
2315.294104507, 0.999565799,
2315.314536397, 0.999603027,
2315.334968187, 0.999634838,
2315.355400176, 0.999643354,
2315.396264054, 0.999644529,
2315.416695843, 0.999656529,
2315.437127731, 0.999697738,
2315.457559719, 0.999629590,
2315.477991506, 0.999629046,
2315.498423393, 0.999626248,
2315.518855280, 0.999622654,
2315.539287166, 0.999615238,
2315.559719052, 0.999665191,
2315.580150938, 0.999661621,
2315.600582823, 0.999661583,
2315.621014708, 0.999660799,
2315.641446593, 0.999637710,
2315.661878478, 0.999632594,
2315.682310362, 0.999642200,
2315.702742345, 0.999626144,
2315.723174129, 0.999595063,
2315.743606012, 0.999594474,
2315.764037995, 0.999609825,
2315.784469777, 0.999560550,
2315.804901659, 0.999615594,
2315.825333641, 0.999619173,
2315.845765422, 0.999487089,
2315.886629284, 0.999615075,
2315.907061064, 0.999633333,
2315.927493044, 0.999625577,
2315.947924924, 0.999650411,
2315.968356703, 0.999659762,
2315.988788682, 0.999673908,
2316.009220561, 0.999653868,
2316.029652439, 0.999503117,
2316.070516195, 0.999451251,
